feature,value,B-LOC,B-MISC,B-ORG,B-PER,I-LOC,I-MISC,I-ORG,I-PER,O
attn_0_1_outputs,11,-0.041793235,0.29043436,-0.7365381,0.13110504,-0.19396779,-0.85188913,-0.1732357,0.4759653,-0.1818157
attn_0_1_outputs,12,-0.093244486,-1.2755351,-0.25675625,0.08390176,0.1859452,0.0027341105,0.35895973,-0.044626016,0.095209606
attn_0_1_outputs,13,-0.35341233,0.023665356,-0.8756021,0.1900426,0.16354185,0.13816899,-0.20599838,-0.86665344,-0.14234108
attn_0_1_outputs,14,0.1750437,0.008561608,-0.7280516,-0.31220734,-0.99958324,0.53001094,-0.2741979,-0.6379975,0.47819978
attn_0_1_outputs,15,-0.46691623,0.8948487,-0.41066438,-0.22321962,-0.21865101,0.7543122,0.13033538,-0.019537462,0.7844607
attn_0_1_outputs,16,-1.9347242,0.8184812,0.9327153,-0.24906567,-0.13994488,-1.1043681,0.8932865,0.16090651,0.13424474
attn_0_1_outputs,17,0.33909872,-0.011793824,0.4643102,-0.29611534,-0.83936393,0.21721093,-0.4248242,-0.07959773,-0.2000652
attn_0_1_outputs,18,0.12633264,-0.38763243,-0.5970064,-0.42100832,0.740708,-0.54221666,0.44792965,0.73255545,-0.15548258
attn_0_1_outputs,19,0.43562582,-0.24312942,-0.59258544,-0.4830176,0.8954958,-0.3976202,-0.61580276,-1.0390908,0.032107193
attn_0_1_outputs,2,0.024398554,-0.29805237,-0.34193772,-0.6060175,1.1477464,0.03835765,0.41616645,0.4933945,0.06013368
attn_0_1_outputs,20,0.2780234,-0.26961762,-0.12308897,0.46553105,-0.04832073,-0.925757,-0.09593092,1.101729,-0.614906
attn_0_1_outputs,21,-0.89318067,0.21987252,0.055576988,0.4989562,-0.4577516,-0.71924293,-0.2512907,-0.013122502,-0.4214759
attn_0_1_outputs,22,0.53772223,-0.015052606,0.107039094,0.2648364,-0.6471795,0.07158035,-0.39166668,-1.5895038,0.1574226
attn_0_1_outputs,23,-0.25185505,-0.5532575,-0.21900536,-0.00045607518,-0.007184236,0.00051323883,-0.6150798,-0.19184981,-0.19154847
attn_0_1_outputs,24,0.080327496,1.4754834,-0.16119847,-0.4837124,0.34231627,0.241491,0.008334752,-1.3329203,-0.14686707
attn_0_1_outputs,25,-1.5683216,-0.6586776,0.051964514,-0.61848336,-0.09923196,0.28253922,0.7779485,0.5199165,0.440678
attn_0_1_outputs,26,-1.0490564,0.3534779,0.56268287,-0.20490056,-0.7329177,-0.75948864,0.84752333,-1.1303169,-0.1418186
attn_0_1_outputs,27,0.27398044,-0.51848435,-1.1839075,-0.45457602,-0.0029825924,0.8462504,0.23210467,0.21196756,0.25828248
attn_0_1_outputs,28,-1.2012594,-0.35398597,1.1644346,-0.1765031,-0.5560343,-0.8256758,-0.45570925,0.49199897,-0.051700152
attn_0_1_outputs,29,0.33004782,-0.3077714,-0.38106123,0.11651019,-0.4599462,-0.5361335,-0.011527164,-0.13630512,0.046547234
attn_0_1_outputs,3,0.50680786,0.1034916,-1.0740929,0.20389701,-0.5006905,-1.2527485,-1.1973774,-1.5700731,-0.28397733
attn_0_1_outputs,30,-0.04647714,-0.7913462,0.24728772,-0.307868,0.006226554,0.076298036,-0.05068206,0.20523737,-0.1331091
attn_0_1_outputs,31,-0.30253506,0.2964332,-0.33971408,-0.33543926,0.15774064,-0.94736797,0.6115607,0.22933769,0.18358386
attn_0_1_outputs,4,-0.2442999,0.1258566,0.25350907,0.7314022,0.37146962,1.1706872,0.52041066,-0.62402743,0.4469453
attn_0_1_outputs,5,-0.79195905,0.054447398,0.766771,-0.67102486,-1.3775076,0.4427278,0.34312317,-1.8576752,-0.14482656
attn_0_1_outputs,6,-0.08583568,-0.3813528,0.35478243,-0.18814155,-0.034292884,-0.34716246,0.88301367,0.4431816,0.7424986
attn_0_1_outputs,7,-0.9784529,-0.2626371,0.10539526,0.98256636,-1.1661668,-0.12061938,0.16747195,0.47046033,-0.17179699
attn_0_1_outputs,8,0.2626837,-0.5842725,-0.13554618,0.1664624,-1.2684529,-0.060552757,-0.1474027,0.4340125,-0.56735003
attn_0_1_outputs,9,-0.69706565,-0.5536918,0.26010096,-0.9852229,-0.35143352,0.10276064,0.32575655,1.4122584,-0.0018538847
attn_0_2_outputs,0,-0.213566,-0.109741226,0.35933137,-0.32040557,-0.6989903,-0.008541206,-0.2585553,-0.47821924,0.1144365
attn_0_2_outputs,1,-0.24005918,0.030216573,-0.20197885,0.07169546,-0.3768308,-0.32116205,-0.10012818,0.4209473,0.12300343
attn_0_2_outputs,10,-0.6258573,-0.14296624,-0.5928156,-0.17253423,-0.72821254,0.20757177,-1.4767376,-0.81401443,0.024307745
attn_0_2_outputs,11,-0.5015962,-0.02572204,-0.5186355,0.41127607,-0.6335736,-0.084210895,-0.5125598,-0.08120262,-0.13284345
attn_0_2_outputs,12,-0.52746004,-0.82098395,-0.038126998,0.01103935,-0.43068725,-0.10107338,-0.5415196,-0.2938108,0.11942998
attn_0_2_outputs,13,-0.6824775,-0.14512897,0.077619866,0.08465493,-1.0185564,0.31521317,-0.70421296,-1.0332963,0.5881648
attn_0_2_outputs,14,-0.11569074,-0.08605832,0.2283511,-0.12750642,-0.57459474,-0.1718227,-0.12428563,-0.8551072,0.094742306
attn_0_2_outputs,15,-0.2094361,-0.06528411,-0.4370309,0.35607028,-0.15565333,0.8295045,-0.44567493,-0.5637315,0.0648793
attn_0_2_outputs,16,-0.71728736,-0.7044369,0.42446983,-0.81392324,-1.204757,0.7056082,0.6407251,0.19264027,0.3891691
attn_0_2_outputs,17,-0.2891731,0.35058868,-0.5157443,0.15058517,0.1597958,0.69333893,0.13638929,-0.2145557,0.43712077
attn_0_2_outputs,18,0.1193176,-0.0064763296,-0.12320143,-0.18600495,0.3461553,-0.41492707,0.31256565,-1.1733425,0.22822301
attn_0_2_outputs,19,-0.058802843,0.25982413,-0.016134692,-0.6162711,-1.6308116,-0.12066924,-0.2592433,-0.7505353,-0.014666558
attn_0_2_outputs,2,-0.22205994,-0.20191354,-0.09610004,-0.38683677,-0.17792933,-0.45229796,-0.041241366,-0.21269369,0.13664035
attn_0_2_outputs,20,-0.33104014,0.21996842,-0.42343873,-0.3831429,-0.0052790516,0.103420414,-0.23282753,-0.54254514,0.16064799
attn_0_2_outputs,21,-0.6881836,-0.48481125,0.12071059,-0.17200853,-0.9260713,-0.6285946,0.21287557,-0.50090176,0.06534856
attn_0_2_outputs,22,-0.2743732,-0.0234656,0.15956466,-0.26715896,-1.0925615,0.21521181,-0.17976479,-1.8346864,0.3264577
attn_0_2_outputs,23,-0.61153495,-0.7805285,-0.22993828,-0.07288512,-0.24178588,0.023571616,0.1345163,-0.014085019,0.085161075
attn_0_2_outputs,24,-0.48786128,-0.71388435,-0.42204967,-0.41082677,-0.8004473,0.94987035,0.5338995,-0.4257611,0.11117882
attn_0_2_outputs,25,-0.85709065,-0.7425011,-0.1864288,-0.21452425,-0.8338479,-0.00550572,-0.20918718,-0.9395076,0.48877922
attn_0_2_outputs,26,-0.20116675,-0.23045067,0.49552852,0.47622016,-0.30977222,-0.45620403,0.3623904,-0.20664768,0.49581125
attn_0_2_outputs,27,-0.19316395,-0.029963585,-0.5683419,0.02555192,-0.35781303,-0.5323262,-0.22273864,-0.41117117,-0.10005949
attn_0_2_outputs,28,-0.08569238,-0.16669102,0.345876,0.11773385,-0.3144775,-0.18170622,0.55142075,-0.22492936,0.28509107
attn_0_2_outputs,29,0.2037798,-0.66998124,-0.084332466,0.027986802,-0.58253217,-0.6576134,0.11573619,0.118138276,0.27863577
attn_0_2_outputs,3,0.061696403,-0.47969785,-0.408826,-0.4483277,0.6148595,-0.5791307,-0.3618345,-0.03505569,-0.0059739724
attn_0_2_outputs,30,-0.16022025,0.34955364,0.11467668,0.21031994,-0.53657514,0.6767133,-0.12348321,0.2900244,0.28963464
attn_0_2_outputs,31,-0.4841806,-0.6729461,-0.41984886,0.07780115,-0.539576,0.29861265,-0.5368113,0.18708588,-0.035889216
attn_0_2_outputs,4,0.29548928,0.12364328,0.4913629,-0.07853169,-0.1607244,0.3050841,0.08736243,0.33897978,0.43525988
attn_0_2_outputs,5,0.3006617,-0.6564623,-0.09822866,-0.14915968,-0.5307873,-0.12132221,0.33262557,-0.51027596,0.124706924
attn_0_2_outputs,6,0.19791198,-0.28951135,0.20412044,0.0076186196,-0.42168033,-0.9359856,0.18070234,0.44615346,0.3888189
attn_0_2_outputs,7,-0.38391533,0.124263905,0.5173277,0.65500265,-1.3794981,-0.2292665,-0.04637466,0.2542946,0.50582707
attn_0_2_outputs,8,-0.6537985,0.11394146,-0.4757751,0.08317449,-0.22352487,-0.2860932,-0.002389997,0.97139955,0.122298196
attn_0_2_outputs,9,0.3645827,-1.0835619,0.07540278,-0.36387244,-0.01958227,-0.2691334,0.00063978013,-0.00095949305,-0.18393545
attn_0_3_outputs,0,-0.6208689,-0.752323,0.15845516,0.0550522,0.4406518,1.1238728,-0.262778,-1.0589134,-0.13713153
attn_0_3_outputs,1,-0.2397029,-0.9524605,-1.3469213,-0.9764045,-1.2358646,-1.4532673,-0.20096277,1.3890587,0.6563217
attn_0_3_outputs,10,-0.23371314,-0.57969135,0.37553564,-0.80247015,0.68663394,0.5133892,-0.4639242,-1.1950544,0.50552654
attn_0_3_outputs,11,-0.35689682,-0.15830798,-0.53520066,-0.74760306,-0.111601084,-0.6316176,0.44979614,-0.37154827,0.3270973
attn_0_3_outputs,12,0.026552377,-0.6263543,-0.15402539,0.9178265,1.5693023,-1.1165243,-1.0638083,-2.5486348,0.057363745
attn_0_3_outputs,13,-0.3288554,-0.24199274,-0.4561686,0.56177217,-1.2612543,-1.8981857,-0.78969955,-1.3654567,0.47809005
attn_0_3_outputs,14,0.5603789,0.4809781,-0.31861266,0.3273017,-3.039432,-0.11838787,-1.5292417,-2.523775,0.02391927
attn_0_3_outputs,15,-1.1143826,-1.6544949,-0.5288788,-0.38676757,0.9182511,0.27024463,0.7209163,-0.26054558,0.68720853
attn_0_3_outputs,16,-0.89868593,-0.84308857,-0.21870239,0.38445574,-1.8375612,-2.256601,1.7443573,1.9088739,-0.687743
attn_0_3_outputs,17,-0.6073308,-0.19688633,-0.28080592,-0.68033683,-1.0130055,0.30803877,-0.7157039,1.559312,0.026276695
attn_0_3_outputs,18,1.6434438,0.20478506,-0.59759957,-0.13548139,-1.3304267,-1.4612304,-1.0947285,-0.8562699,0.5495114
attn_0_3_outputs,19,0.25657833,0.45980337,0.06343905,0.31421822,-1.1977987,-0.9475677,-1.4225878,-1.6095983,-0.17657335
attn_0_3_outputs,2,-0.22990078,-1.2054129,-0.07463886,0.122235514,-0.9949865,-1.2993723,0.3061933,-0.12563659,0.3696085
attn_0_3_outputs,20,-0.4512558,-1.2333122,-0.63728505,-0.91167456,2.063926,1.256699,0.28855333,1.487869,-0.32392102
attn_0_3_outputs,21,-0.1621972,-0.49891785,-0.70128965,0.37381017,-0.80611557,-1.2794465,0.53431004,-1.9889643,0.1815644
attn_0_3_outputs,22,-0.6410664,-0.41473493,-0.22783612,-0.8618424,-0.33879572,-0.5954802,-0.19610453,0.41134605,0.3133875
attn_0_3_outputs,23,-1.433936,-0.7877923,-0.5709502,-0.5419729,-0.24516897,0.21985143,0.0685913,1.7538863,-0.16888683
attn_0_3_outputs,24,-1.1013627,-0.38755387,-1.1007298,-1.3741888,-1.318261,1.5538737,-0.56479967,1.1124982,0.25075117
attn_0_3_outputs,25,0.019966315,-0.19717439,0.09878918,-0.5331107,-1.0094944,-0.58392173,0.2770702,0.8715088,-0.4212902
attn_0_3_outputs,26,0.16087808,0.07814417,0.081688076,0.8442134,-1.4946886,-0.57403207,0.7536908,-1.512455,0.34113568
attn_0_3_outputs,27,0.14426212,0.58936065,-0.51111937,0.12555334,-0.93069386,-1.3921686,-1.7803234,1.465974,0.5329161
attn_0_3_outputs,28,-1.6407708,-1.4041555,-0.5305778,-1.5073167,0.47831833,2.4922864,1.7359487,-0.8258023,-0.20022489
attn_0_3_outputs,29,-0.42263964,-1.0603633,-0.45799813,-0.6892774,0.17794427,-0.2688251,0.73773956,0.4511574,-0.12756626
attn_0_3_outputs,3,0.6601045,0.9991601,-0.7033713,-0.16356924,-0.5274228,-1.6844457,0.5601382,-1.4826349,0.048215266
attn_0_3_outputs,30,0.31591827,-0.7441828,0.308858,-0.14599353,-1.7040733,-1.9632107,-0.20147635,-0.9910493,0.080606304
attn_0_3_outputs,31,-0.51978755,-1.0487865,-0.80682504,-1.4188309,1.1470158,0.099795096,0.94890916,1.0518832,-0.15251929
attn_0_3_outputs,4,0.5090714,-0.18194716,-0.048372697,0.7633905,0.14567614,-0.97358423,-0.58218,0.9008695,0.24580052
attn_0_3_outputs,5,-1.1434661,-0.1025618,-0.6253892,-0.1688608,0.41744846,0.41808724,0.4332019,-2.9469159,0.4503469
attn_0_3_outputs,6,-0.13438131,-0.282014,0.2341552,0.13767412,-0.050681178,-0.33696458,-0.15504472,0.13261361,0.22458564
attn_0_3_outputs,7,-0.19165327,0.19878487,-0.09072363,1.1605736,-1.4291513,-1.09641,-1.2264717,-1.9976944,-0.29726294
attn_0_3_outputs,8,-0.5211371,0.64092445,0.12920155,0.4464962,0.23425192,0.4384732,0.89224505,-1.8958894,0.55410004
attn_0_3_outputs,9,0.35657898,-0.4588454,0.12719257,0.38079306,-1.2340057,-2.0206547,-0.7000879,-0.6534655,0.103963226
attn_0_4_outputs,0,-0.7243953,-0.3652561,-0.16401443,0.01121309,-0.32519886,-1.0301768,0.5235279,-0.59410286,0.15690742
attn_0_4_outputs,1,-0.4751711,-0.31961867,0.3169294,-0.2914234,-0.44324562,-0.52836454,0.12958227,0.15470986,0.15579422
attn_0_4_outputs,10,-0.29511625,0.3666418,-0.49269775,0.57999974,-2.0275755,-0.43021432,-0.36087045,0.066798754,0.6926204
attn_0_4_outputs,11,-0.3693417,-0.329861,-0.031627554,-0.16202301,-0.13172038,0.061266784,-0.19251308,-0.43623877,-0.48866397
attn_0_4_outputs,12,0.047800783,-0.42111242,-0.41000843,0.25416422,0.40624422,-0.41387042,-0.28571352,0.6756734,0.56923485
attn_0_4_outputs,13,-0.11681742,-0.10096462,-0.44030944,-0.13388225,0.13240622,0.6738896,-0.2857947,0.39583588,0.4906458
attn_0_4_outputs,14,0.183786,0.27194896,-0.6725593,-0.04312369,-0.7809278,0.037828322,-0.88949746,-0.53483003,0.6957884
attn_0_4_outputs,15,-0.4770556,0.85952795,-0.40154693,-0.32108444,0.20589764,0.6189949,-0.46405804,-0.66280305,0.36472452
attn_0_4_outputs,16,-1.2255741,-0.5814922,0.79752475,0.017925462,-0.8051044,-0.68012047,0.57288593,0.37289253,0.270888
attn_0_4_outputs,17,0.57657635,0.14817956,0.15300828,-0.27073458,-0.040649712,0.52255636,-0.21972258,-0.30411395,0.008256718
attn_0_4_outputs,18,-0.6737829,-0.17249785,0.43545264,-0.9510347,0.16527079,-0.32060552,0.13991986,0.15184937,0.15024683
attn_0_4_outputs,19,-0.2741327,-0.21983384,-0.17325485,-0.38723037,-0.14368697,0.21426614,-0.00092466496,-0.93431926,-0.10560565
attn_0_4_outputs,2,-0.47590795,-0.34918106,-0.3388805,-0.31576088,-0.0901527,-0.31206283,-0.009575073,-0.160359,0.032549113
attn_0_4_outputs,20,-0.22411576,-0.39058146,-0.25417873,-0.28903836,-0.58187026,0.6118349,-0.15293956,0.14958563,-0.19550566
attn_0_4_outputs,21,0.06931096,-0.24848382,-0.649124,-0.19163296,-0.109321825,-0.7897039,0.38451365,-0.93556875,-0.383918
attn_0_4_outputs,22,-0.042668637,-0.15944365,-0.9973777,-0.41952804,-0.04457874,-0.36532664,-0.75073117,-0.6329743,0.42680755
attn_0_4_outputs,23,-0.5046115,-0.51293975,0.07066887,0.061259408,-0.53186965,-0.19489418,-0.57351524,0.38313812,-0.16006957
attn_0_4_outputs,24,-0.40412086,0.35261905,-0.6222324,-0.6845919,-0.66589046,0.8479177,-0.0714566,-0.79252964,0.056377158
attn_0_4_outputs,25,-1.449188,-0.8094825,-0.29166323,-0.4676501,-0.19699632,0.0022643078,0.27148354,0.88745064,-0.087161385
attn_0_4_outputs,26,-0.9466051,-0.25578576,-0.32291573,-0.18622506,-1.8351121,-0.47263518,0.73549545,-0.12512271,0.49713707
attn_0_4_outputs,27,-0.43050826,-0.2821505,0.10249229,0.15967824,0.18789865,-0.5361295,0.67544156,0.5199609,0.12760031
attn_0_4_outputs,28,0.10302057,-0.6191948,0.2630886,0.070381425,-0.6311844,-0.38179287,0.5874948,0.08402915,-0.24905168
attn_0_4_outputs,29,-0.2148736,0.33677796,0.06230343,-0.40970206,-0.43607706,-0.18658368,0.24108167,-0.021606406,-0.28283074
attn_0_4_outputs,3,1.1804471,0.040786453,-0.77068913,-0.36664543,0.28730378,0.09104533,-0.17725424,0.023940012,-0.33913544
attn_0_4_outputs,30,0.3397467,-0.99491036,0.010712223,0.18235928,0.3333898,-0.9678141,0.63971615,0.04989678,-0.21017312
attn_0_4_outputs,31,0.0952227,-0.31414813,-0.1491313,0.5459118,-0.9044243,-0.84317577,-0.6013397,-0.16813037,-0.25963405
attn_0_4_outputs,4,0.7518405,-0.66786766,0.5549505,0.83478343,1.1536081,-0.40042058,-1.7258577,-1.1425812,-0.36890727
attn_0_4_outputs,5,-0.17882161,-0.6969068,-0.17568052,-0.6062073,-0.77851236,-1.1232299,-0.26679596,-0.6974722,0.6012894
attn_0_4_outputs,6,-0.22999278,-0.7531309,-0.28848773,-0.7637236,-0.36968032,-0.27277708,-0.045859955,-0.606505,0.28917846
attn_0_4_outputs,7,-0.8222576,-0.21471865,-0.23006754,0.51137376,-0.8835701,0.23391569,0.08827846,0.38942698,0.114389725
attn_0_4_outputs,8,-0.028372463,-0.039573684,-0.039161075,0.0727776,-0.87859654,-0.99917924,-0.27470306,0.2918622,0.23141228
attn_0_4_outputs,9,-0.015495334,-1.1211534,-0.49819225,0.018064143,-0.23426525,-1.4699012,0.19809973,-0.4018057,0.11843849
attn_0_5_outputs,0,-0.9747686,-0.5313054,0.27093443,-0.72869164,-0.33558697,1.406503,0.81911194,0.8674649,0.48152655
attn_0_5_outputs,1,-0.12829274,-0.6948985,0.1664309,0.16981566,-2.2999954,1.2245457,-2.4477866,-0.006884286,0.10766043
attn_0_5_outputs,10,-0.4861989,1.0258454,-1.279995,-1.3110287,-0.47588784,0.878614,-1.6557283,2.5260355,-0.67439735
attn_0_5_outputs,11,-0.3498152,0.14260416,-0.40236622,-0.5973182,-0.72818595,-0.16795658,-0.8077861,-0.1722489,0.6163986
attn_0_5_outputs,12,-1.7026571,-1.0878869,-0.9795577,-0.0026229857,1.4076487,-0.48319542,-0.46764383,1.1787107,-0.5565706
attn_0_5_outputs,13,-0.9651612,-1.4535381,-1.2784649,0.24523868,-2.0631347,0.40993905,0.7499852,-1.877656,0.8137903
attn_0_5_outputs,14,-0.23327954,-0.6803432,0.18192121,-2.2492788,0.60009515,-0.46601433,0.75685024,-3.3120794,0.086602844
attn_0_5_outputs,15,-0.5387516,-0.801062,-0.42559373,-0.8057414,-0.36182085,0.7300239,1.1515111,0.6921802,0.0729891
attn_0_5_outputs,16,-0.89384514,-0.45466995,0.058555853,0.0009092585,-1.4959556,0.84682125,0.653504,0.17585516,-0.21242522
attn_0_5_outputs,17,-0.0876544,0.3221545,-0.0006915311,-0.19752021,-1.7098645,0.20686156,-1.0286914,-1.338405,-0.3183054
attn_0_5_outputs,18,-0.38865286,-1.119249,0.105630845,-1.5923994,0.9841931,-1.9467714,1.2229797,-1.1252341,-0.024917113
attn_0_5_outputs,19,-0.5172349,0.9119125,0.026675226,-1.0067074,1.0084045,-0.13276699,-0.38943642,-0.38695318,-0.36989573
attn_0_5_outputs,2,-0.4590654,-1.6694475,0.39242464,-0.40164423,-1.5053904,-1.8418152,1.1280721,1.0380194,0.46837592
attn_0_5_outputs,20,0.33274552,-0.014752065,-0.5407312,0.116463624,0.2029991,0.10653463,0.0015985494,-0.12943144,-0.38857365
attn_0_5_outputs,21,0.14192188,0.2707885,-0.23308945,-0.2598741,-1.0459456,-0.68537605,-0.0927354,-2.6696644,0.06491186
attn_0_5_outputs,22,-0.23445109,0.16331992,-0.34907055,-0.16767663,-1.0960867,-2.4979775,1.6968765,-2.1654732,0.22435383
attn_0_5_outputs,23,-1.2530249,-1.1848264,-1.230661,-0.22977999,-1.3360744,-0.9678719,-0.20875746,1.3455304,0.11937703
attn_0_5_outputs,24,-1.2179382,-0.71192765,-0.61412525,-1.657428,-0.18441452,0.49460873,-0.6098965,3.384822,0.11558878
attn_0_5_outputs,25,-0.28072202,-0.03203034,-0.5005187,-0.28322053,-1.0043347,-1.74101,-1.3971454,-1.4624898,0.9013597
attn_0_5_outputs,26,-0.07260096,-0.14581446,0.97384703,1.2991174,-1.7192291,-0.82969457,-1.0688013,-1.2293236,-0.097238645
attn_0_5_outputs,27,-0.166033,0.08758864,-0.3185198,0.20871386,-0.6135678,-1.9553308,-1.4996822,-0.89200824,0.16240384
attn_0_5_outputs,28,-0.30989832,0.23990646,-1.8062775,-0.8561825,-2.8534987,1.5299665,1.2907245,2.3834643,-0.4086505
attn_0_5_outputs,29,-1.533714,-1.5688249,-0.0009772216,0.31837463,-1.2215835,0.014084073,-0.024049444,1.2343329,0.45432195
attn_0_5_outputs,3,0.00855438,-0.86221826,-1.0167046,-0.65531445,1.2082186,0.9024301,1.018547,-0.6512921,-0.30140945
attn_0_5_outputs,30,-0.80965906,-0.5882965,1.2218418,-0.8235375,0.67280924,-1.0250491,0.30449846,-1.4954664,0.37853357
attn_0_5_outputs,31,-0.90844685,-0.306442,-0.7887664,0.39923036,-1.0541363,-1.001496,-1.5627207,0.24548374,0.83987546
attn_0_5_outputs,4,0.43139663,-0.5831248,0.028879147,1.245699,-0.5330348,-2.1045008,-2.3816302,2.0268545,0.2392303
attn_0_5_outputs,5,0.5524054,-0.08707558,0.08551725,-0.37639666,-2.61306,-1.7330494,-2.3928397,-1.1963516,0.23427053
attn_0_5_outputs,6,-0.46960008,0.0023700942,-0.23028572,1.4328463,-1.1693745,-1.4810833,0.048397668,-0.37123418,-0.33133852
attn_0_5_outputs,7,-1.3983159,-0.637259,0.7973877,-1.3618248,-0.13653585,0.36531335,-0.7293704,0.24015318,0.31552032
attn_0_5_outputs,8,-0.60336703,0.37145713,-1.2175753,-0.54035157,0.33392528,1.2973145,0.44679043,-0.8251571,0.027003227
attn_0_5_outputs,9,-0.052060496,-0.123669244,0.9763951,1.0262957,-2.1621246,0.02856239,-1.5739092,-1.5915959,0.42903486
